Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Low income,LIC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Lower middle income,LMC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Lower middle income,LMC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Luxembourg,LUX,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,3302
Luxembourg,LUX,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,3556
"Macao SAR, China",MAC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,3810
"Macao SAR, China",MAC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,3926
"Macedonia, FYR",MKD,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,11980
"Macedonia, FYR",MKD,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,12604
Madagascar,MDG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,402845
Madagascar,MDG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,413883
Malawi,MWI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,307119
Malawi,MWI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,316607
Malaysia,MYS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,262155
Malaysia,MYS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,290263
Maldives,MDV,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,3617
Maldives,MDV,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,4051
Mali,MLI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,344711
Mali,MLI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,352843
Malta,MLT,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1858
Malta,MLT,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1826
Marshall Islands,MHL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Marshall Islands,MHL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Mauritania,MRT,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,62204
Mauritania,MRT,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,64385
Mauritius,MUS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,6916
Mauritius,MUS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,7208
Mexico,MEX,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1144210
Mexico,MEX,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1190344
"Micronesia, Fed. Sts.",FSM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1171
"Micronesia, Fed. Sts.",FSM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1249
