,iso3,ISO_A3,ISO_N3,name_abbrev,GEOUNIT,NAME_LONG,population,DTP1-16,name,id,lat,lon,amt,amt_refugee
142,MNG,MNG,496.0,Mong.,Mongolia,Mongolia,922800.0,99.0,Mongolia,496.0,,,151.75,648160
143,MOZ,MOZ,508.0,Moz.,Mozambique,Mozambique,13351050.0,90.0,Mozambique,508.0,,,191.75,-
144,MRT,MRT,478.0,Mrt.,Mauritania,Mauritania,1768000.0,87.0,Mauritania,478.0,,,120.0,8684550
145,MUS,MUS,480.0,Mus.,Mauritius,Mauritius,227700.0,97.0,Mauritius,480.0,-20.2,57.5,115.0,33573760
146,MWI,MWI,454.0,Mal.,Malawi,Malawi,8193680.0,89.0,Malawi,454.0,,,213.5,1019920
147,MYS,MYS,458.0,Malay.,Malaysia,Malaysia,7589760.0,99.0,Malaysia,458.0,,,0.75,68955600
148,NAM,NAM,516.0,Nam.,Namibia,Namibia,937580.0,98.0,Namibia,516.0,,,47.0,
149,NER,NER,562.0,Niger,Niger,Niger,10738500.0,87.0,Niger,562.0,,,142.0,20900
150,NGA,NGA,566.0,Nigeria,Nigeria,Nigeria,83989840.0,64.0,Nigeria,566.0,,,95.25,3173940
151,NIC,NIC,558.0,Nic.,Nicaragua,Nicaragua,1803220.0,99.0,Nicaragua,558.0,,,198.5,1406560
152,NIU,NIU,570.0,Niue,Niue,Niue,,99.0,Niue,570.0,-19.05,-169.917,52.0,856350
153,NLD,-99,-99.0,Neth.,Netherlands,Netherlands,2725760.0,98.0,Netherlands,528.0,,,170.0,87720
154,NOR,NOR,578.0,Nor.,Norway,Norway,954900.0,99.0,Norway,578.0,,,204.25,16447930
155,NPL,NPL,524.0,Nepal,Nepal,Nepal,9084550.0,92.0,Nepal,524.0,,,38.75,-
156,NRU,NRU,520.0,Nauru,Nauru,Nauru,,98.0,Nauru,520.0,-0.533,166.933,1.75,"72,520"
157,NZL,NZL,554.0,N.Z.,New Zealand,New Zealand,941200.0,92.0,New Zealand,554.0,,,71.0,6815930
158,OMN,OMN,512.0,Oman,Oman,Oman,1019920.0,99.0,Oman,512.0,,,226.5,5281920
159,PAK,PAK,586.0,Pak.,Pakistan,Pakistan,68955600.0,79.0,Pakistan,586.0,,,200.75,6953100
160,PAN,PAN,591.0,Pan.,Panama,Panama,1106730.0,96.0,Panama,591.0,,,67.75,16618530
161,PER,PER,604.0,Peru,Peru,Peru,8684550.0,94.0,Peru,604.0,,,176.75,1783980
162,PHL,PHL,608.0,Phil.,Philippines,Philippines,33573760.0,87.0,Philippines,608.0,,,230.25,1271400
163,PLW,PLW,585.0,Palau,Palau,Palau,,99.0,Palau,585.0,7.5,134.617,113.0,5010480
164,PNG,-99,-99.0,Boug.,Bougainville,Bougainville,2970360.0,87.0,,,,,,
165,PNG,-99,-99.0,P.N.G.,Papua New Guinea,Papua New Guinea,2970360.0,87.0,Papua New Guinea,598.0,,,157.5,146380
166,POL,POL,616.0,Pol.,Poland,Poland,5725650.0,99.0,Poland,616.0,,,118.0,3122350
167,PRK,PRK,408.0,N.K.,North Korea,Dem. Rep. Korea,,97.0,North Korea,408.0,,,246.25,312000
168,PRT,-99,-99.0,Port.,Portugal,Portugal,1446200.0,99.0,Portugal,620.0,,,225.5,11736460
169,PRY,PRY,600.0,Para.,Paraguay,Paraguay,1975190.0,99.0,Paraguay,600.0,,,78.5,505790
170,QAT,QAT,634.0,Qatar,Qatar,Qatar,369460.0,99.0,Qatar,634.0,,,236.0,570240
171,ROU,ROU,642.0,Rom.,Romania,Romania,2951850.0,96.0,Romania,642.0,,,36.25,38880
172,RUS,RUS,643.0,Rus.,Russia,Russian Federation,25918200.0,97.0,Russia,643.0,,,127.25,287490
173,RWA,RWA,646.0,Rwa.,Rwanda,Rwanda,4883200.0,99.0,Rwanda,646.0,,,87.0,2767680
174,SAU,SAU,682.0,Saud.,Saudi Arabia,Saudi Arabia,8234500.0,98.0,Saudi Arabia,682.0,,,166.0,6633450
175,SDN,SDN,729.0,Sudan,Sudan,Sudan,16618530.0,97.0,Sudan,729.0,,,170.0,681028
