,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG
136,OMN,0.0,2.0,OMN,OMN,OMN,512,Sovereign country,Oman,Oman,Oman,Oman
137,PAK,0.0,2.0,PAK,PAK,PAK,586,Sovereign country,Pakistan,Pak.,Pakistan,Pakistan
138,PAN,0.0,2.0,PAN,PAN,PAN,591,Sovereign country,Panama,Pan.,Panama,Panama
139,PER,0.0,2.0,PER,PER,PER,604,Sovereign country,Peru,Peru,Peru,Peru
140,PHL,0.0,2.0,PHL,PHL,PHL,608,Sovereign country,Philippines,Phil.,Philippines,Philippines
141,PLW,0.0,2.0,PLW,PLW,PLW,585,Sovereign country,Palau,Palau,Palau,Palau
142,POL,0.0,2.0,POL,POL,POL,616,Sovereign country,Poland,Pol.,Poland,Poland
143,PRK,0.0,2.0,PRK,PRK,PRK,408,Sovereign country,North Korea,N.K.,Dem. Rep. Korea,Dem. Rep. Korea
144,PRY,0.0,2.0,PRY,PRY,PRY,600,Sovereign country,Paraguay,Para.,Paraguay,Paraguay
145,QAT,0.0,2.0,QAT,QAT,QAT,634,Sovereign country,Qatar,Qatar,Qatar,Qatar
146,ROU,0.0,2.0,ROU,ROU,ROU,642,Sovereign country,Romania,Rom.,Romania,Romania
147,RUS,0.0,2.0,RUS,RUS,RUS,643,Sovereign country,Russia,Rus.,Russia,Russian Federation
148,RWA,0.0,2.0,RWA,RWA,RWA,646,Sovereign country,Rwanda,Rwa.,Rwanda,Rwanda
149,SAU,0.0,2.0,SAU,SAU,SAU,682,Sovereign country,Saudi Arabia,Saud.,Saudi Arabia,Saudi Arabia
150,SDN,0.0,2.0,SDN,SDN,SDN,729,Sovereign country,Sudan,Sudan,Sudan,Sudan
151,SSD,0.0,2.0,SDS,SSD,SDS,728,Sovereign country,South Sudan,S. Sud.,S. Sudan,South Sudan
152,SEN,0.0,2.0,SEN,SEN,SEN,686,Sovereign country,Senegal,Sen.,Senegal,Senegal
153,SGP,0.0,2.0,SGP,SGP,SGP,702,Sovereign country,Singapore,Sing.,Singapore,Singapore
154,SLB,0.0,2.0,SLB,SLB,SLB,90,Sovereign country,Solomon Islands,S. Is.,Solomon Is.,Solomon Islands
155,SLE,0.0,2.0,SLE,SLE,SLE,694,Sovereign country,Sierra Leone,S.L.,Sierra Leone,Sierra Leone
156,SLV,0.0,2.0,SLV,SLV,SLV,222,Sovereign country,El Salvador,El. S.,El Salvador,El Salvador
157,SMR,0.0,2.0,SMR,SMR,SMR,674,Sovereign country,San Marino,S.M.,San Marino,San Marino
158,STP,0.0,2.0,STP,STP,STP,678,Sovereign country,Sao Tome and Principe,S.T.P.,São Tomé and Principe,São Tomé and Principe
159,SUR,0.0,2.0,SUR,SUR,SUR,740,Sovereign country,Suriname,Sur.,Suriname,Suriname
160,SVK,0.0,2.0,SVK,SVK,SVK,703,Sovereign country,Slovakia,Svk.,Slovakia,Slovakia
161,SVN,0.0,2.0,SVN,SVN,SVN,705,Sovereign country,Slovenia,Slo.,Slovenia,Slovenia
162,SWE,0.0,2.0,SWE,SWE,SWE,752,Sovereign country,Sweden,Swe.,Sweden,Sweden
163,SWZ,0.0,2.0,SWZ,SWZ,SWZ,748,Sovereign country,Swaziland,Swz.,Swaziland,Swaziland
164,SXM,1.0,2.0,SXM,SXM,SXM,534,Country,Sint Maarten,St. M.,Sint Maarten,Sint Maarten
165,SYC,0.0,2.0,SYC,SYC,SYC,690,Sovereign country,Seychelles,Syc.,Seychelles,Seychelles
166,TCD,0.0,2.0,TCD,TCD,TCD,148,Sovereign country,Chad,Chad,Chad,Chad
167,TGO,0.0,2.0,TGO,TGO,TGO,768,Sovereign country,Togo,Togo,Togo,Togo
168,THA,0.0,2.0,THA,THA,THA,764,Sovereign country,Thailand,Thai.,Thailand,Thailand
169,TJK,0.0,2.0,TJK,TJK,TJK,762,Sovereign country,Tajikistan,Tjk.,Tajikistan,Tajikistan
170,TKM,0.0,2.0,TKM,TKM,TKM,795,Sovereign country,Turkmenistan,Turkm.,Turkmenistan,Turkmenistan
171,TLS,0.0,2.0,TLS,TLS,TLS,626,Sovereign country,East Timor,T.L.,Timor-Leste,Timor-Leste
172,TON,0.0,2.0,TON,TON,TON,776,Sovereign country,Tonga,Tongo,Tonga,Tonga
173,TTO,0.0,2.0,TTO,TTO,TTO,780,Sovereign country,Trinidad and Tobago,Tr.T.,Trinidad and Tobago,Trinidad and Tobago
174,TUN,0.0,2.0,TUN,TUN,TUN,788,Sovereign country,Tunisia,Tun.,Tunisia,Tunisia
175,TUR,0.0,2.0,TUR,TUR,TUR,792,Sovereign country,Turkey,Tur.,Turkey,Turkey
176,TUV,0.0,2.0,TUV,TUV,TUV,798,Sovereign country,Tuvalu,Tuv.,Tuvalu,Tuvalu
177,TWN,0.0,2.0,TWN,TWN,TWN,158,Sovereign country,Taiwan,Taiwan,Taiwan,Taiwan
178,TZA,0.0,2.0,TZA,TZA,TZA,834,Sovereign country,Tanzania,Tanz.,Tanzania,Tanzania
179,UGA,0.0,2.0,UGA,UGA,UGA,800,Sovereign country,Uganda,Uga.,Uganda,Uganda
180,UKR,0.0,2.0,UKR,UKR,UKR,804,Sovereign country,Ukraine,Ukr.,Ukraine,Ukraine
181,URY,0.0,2.0,URY,URY,URY,858,Sovereign country,Uruguay,Ury.,Uruguay,Uruguay
182,USA,1.0,2.0,USA,USA,USA,840,Country,United States of America,U.S.A.,United States,United States
183,-99,1.0,2.0,USG,-99,USG,-99,Lease,US Naval Base Guantanamo Bay,Guantan.,USNB Guantanamo Bay,US Naval Base Guantanamo Bay
184,UZB,0.0,2.0,UZB,UZB,UZB,860,Sovereign country,Uzbekistan,Uzb.,Uzbekistan,Uzbekistan
185,VAT,0.0,2.0,VAT,VAT,VAT,336,Sovereign country,Vatican,Vat.,Vatican,Vatican
186,VCT,0.0,2.0,VCT,VCT,VCT,670,Sovereign country,Saint Vincent and the Grenadines,St.V.G.,St. Vin. and Gren.,Saint Vincent and the Grenadines
187,VEN,0.0,2.0,VEN,VEN,VEN,862,Sovereign country,Venezuela,Ven.,Venezuela,Venezuela
188,VNM,0.0,2.0,VNM,VNM,VNM,704,Sovereign country,Vietnam,Viet.,Vietnam,Vietnam
189,VUT,0.0,2.0,VUT,VUT,VUT,548,Sovereign country,Vanuatu,Van.,Vanuatu,Vanuatu
190,WSM,0.0,2.0,WSM,WSM,WSM,882,Sovereign country,Samoa,Samoa,Samoa,Samoa
191,YEM,0.0,2.0,YEM,YEM,YEM,887,Sovereign country,Yemen,Yem.,Yemen,Yemen
192,ZAF,0.0,2.0,ZAF,ZAF,ZAF,710,Sovereign country,South Africa,S.Af.,South Africa,South Africa
193,ZMB,0.0,2.0,ZMB,ZMB,ZMB,894,Sovereign country,Zambia,Zambia,Zambia,Zambia
194,ZWE,0.0,2.0,ZWE,ZWE,ZWE,716,Sovereign country,Zimbabwe,Zimb.,Zimbabwe,Zimbabwe
