,unicef_region,iso3,country,GDP,2016,1996,1986,Pop % under 14,Pop # under 14
121,East Asia & Pacific,NZL,New Zealand,"185,017",92.0,96.0,88.0,20.0,941200.0
122,Latin America & Caribbean,NIC,Nicaragua,"13,231",99.0,93.0,70.0,29.0,1803220.0
123,West & Central Africa,NER,Niger,"7,509",87.0,44.0,24.0,50.0,10738500.0
124,West & Central Africa,NGA,Nigeria,"405,083",64.0,51.0,46.0,44.0,83989840.0
125,East Asia & Pacific,NIU,Niue,,99.0,99.0,93.0,,
126,Western Europe,NOR,Norway,"370,557",99.0,98.0,94.0,18.0,954900.0
127,Middle East & North Africa,OMN,Oman,"66,293",99.0,99.0,94.0,22.0,1019920.0
128,South Asia,PAK,Pakistan,"283,660",79.0,62.0,59.0,35.0,68955600.0
129,East Asia & Pacific,PLW,Palau,293,99.0,98.0,98.0,,
130,Latin America & Caribbean,PAN,Panama,"55,188",96.0,97.0,88.0,27.0,1106730.0
131,East Asia & Pacific,PNG,Papua New Guinea,"16,929",87.0,80.0,69.0,36.0,2970360.0
132,Latin America & Caribbean,PRY,Paraguay,"27,441",99.0,89.0,77.0,29.0,1975190.0
133,Latin America & Caribbean,PER,Peru,"192,094",94.0,97.0,74.0,27.0,8684550.0
134,East Asia & Pacific,PHL,Philippines,"304,905",87.0,82.0,86.0,32.0,33573760.0
135,Western Europe,POL,Poland,"469,509",99.0,98.0,98.0,15.0,5725650.0
136,Western Europe,PRT,Portugal,"204,565",99.0,98.0,93.0,14.0,1446200.0
137,Middle East & North Africa,QAT,Qatar,"152,469",99.0,97.0,89.0,14.0,369460.0
138,East Asia & Pacific,KOR,Republic of Korea,"1,411,246",98.0,96.0,91.0,13.0,6627660.0
139,Eastern Europe & Central Asia,MDA,Republic of Moldova,"6,750",94.0,98.0,,16.0,648160.0
140,Eastern Europe & Central Asia,ROU,Romania,"186,691",96.0,98.0,96.0,15.0,2951850.0
141,Eastern Europe & Central Asia,RUS,Russian Federation,"1,283,162",97.0,94.0,,18.0,25918200.0
142,Eastern & Southern Africa,RWA,Rwanda,"8,376",99.0,96.0,95.0,40.0,4883200.0
143,Latin America & Caribbean,KNA,Saint Kitts and Nevis,917,99.0,99.0,99.0,,
