,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG,ISOA3_GUA3
107,GTM,0.0,2.0,GTM,GTM,GTM,320,Sovereign country,Guatemala,Guat.,Guatemala,Guatemala,GTM
108,GUF,1.0,3.0,FRA,GUF,GUF,254,Geo unit,French Guiana,Fr. G.,French Guiana,French Guiana,GUF
109,GUM,1.0,2.0,GUM,GUM,GUM,316,Dependency,Guam,Guam,Guam,Guam,GUM
110,GUY,0.0,2.0,GUY,GUY,GUY,328,Sovereign country,Guyana,Guy.,Guyana,Guyana,GUY
111,HKG,1.0,2.0,HKG,HKG,HKG,344,Country,Hong Kong S.A.R.,H.K.,Hong Kong,Hong Kong,HKG
112,HMD,1.0,2.0,HMD,HMD,HMD,334,Dependency,Heard Island and McDonald Islands,H.M.Is.,Heard I. and McDonald Is.,Heard I. and McDonald Islands,HMD
113,HND,0.0,2.0,HND,HND,HND,340,Sovereign country,Honduras,Hond.,Honduras,Honduras,HND
114,-99,1.0,3.0,UMI,HQI,HQI,-99,Geo unit,Howland Island,How. I.,Howland I.,Howland Island,HQI
115,HRV,0.0,2.0,HRV,HRV,HRV,191,Sovereign country,Croatia,Cro.,Croatia,Croatia,HRV
116,HTI,0.0,2.0,HTI,HTI,HTI,332,Sovereign country,Haiti,Haiti,Haiti,Haiti,HTI
117,HUN,0.0,2.0,HUN,HUN,HUN,348,Sovereign country,Hungary,Hun.,Hungary,Hungary,HUN
118,IDN,0.0,2.0,IDN,IDN,IDN,360,Sovereign country,Indonesia,Indo.,Indonesia,Indonesia,IDN
119,IMN,1.0,2.0,IMN,IMN,IMN,833,Country,Isle of Man,IoMan,Isle of Man,Isle of Man,IMN
120,IND,0.0,2.0,IND,IND,IND,356,Sovereign country,India,India,India,India,IND
121,IOT,1.0,2.0,IOT,IOT,IOT,86,Dependency,British Indian Ocean Territory,I.O.T.,Br. Indian Ocean Ter.,British Indian Ocean Territory,IOT
122,-99,0.0,3.0,IRQ,IRQ,IRK,-99,Geo unit,Iraqi Kurdistan,KRG,Iraqi Kurdistan,Iraqi Kurdistan,IRQ
123,IRL,0.0,2.0,IRL,IRL,IRL,372,Sovereign country,Ireland,Ire.,Ireland,Ireland,IRL
124,IRN,0.0,2.0,IRN,IRN,IRN,364,Sovereign country,Iran,Iran,Iran,Iran,IRN
125,-99,0.0,3.0,IRQ,IRQ,IRR,-99,Geo unit,Iraq,Iraq,Iraq,Iraq,IRQ
126,ISL,0.0,2.0,ISL,ISL,ISL,352,Sovereign country,Iceland,Iceland,Iceland,Iceland,ISL
127,ISR,1.0,2.0,ISR,ISR,ISR,376,Country,Israel,Isr.,Israel,Israel,ISR
128,ITA,0.0,2.0,ITA,ITA,ITA,380,Sovereign country,Italy,Italy,Italy,Italy,ITA
129,JAM,0.0,2.0,JAM,JAM,JAM,388,Sovereign country,Jamaica,Jam.,Jamaica,Jamaica,JAM
130,JEY,1.0,2.0,JEY,JEY,JEY,832,Country,Jersey,Jey.,Jersey,Jersey,JEY
131,JOR,0.0,2.0,JOR,JOR,JOR,400,Sovereign country,Jordan,Jord.,Jordan,Jordan,JOR
132,JPN,0.0,2.0,JPN,JPN,JPN,392,Sovereign country,Japan,Japan,Japan,Japan,JPN
133,-99,1.0,3.0,UMI,JQI,JQI,-99,Geo unit,Johnston Atoll,John. At.,Johnston Atoll,Johnston Atoll,JQI
134,-99,1.0,2.0,KAB,KAZ,KAB,-99,Lease,Baykonur Cosmodrome,Bayk.,Baikonur,Baikonur Cosmodrome,None
135,-99,0.0,2.0,KAS,-99,KAS,-99,Indeterminate,Siachen Glacier,Siachen,Siachen Glacier,Siachen Glacier,None
136,KAZ,0.0,2.0,KAZ,KAZ,KAZ,398,Sovereign country,Kazakhstan,Kaz.,Kazakhstan,Kazakhstan,KAZ
137,KEN,0.0,2.0,KEN,KEN,KEN,404,Sovereign country,Kenya,Ken.,Kenya,Kenya,KEN
138,KGZ,0.0,2.0,KGZ,KGZ,KGZ,417,Sovereign country,Kyrgyzstan,Kgz.,Kyrgyzstan,Kyrgyzstan,KGZ
