,ADM0_A3_IS,ISO_A3,ISO_N3,ABBREV,GEOUNIT,NAME,NAME_LONG
214,POL,POL,616,Pol.,Poland,Poland,Poland
215,PRI,PRI,630,P.R.,Puerto Rico,Puerto Rico,Puerto Rico
216,PRK,PRK,408,N.K.,North Korea,Dem. Rep. Korea,Dem. Rep. Korea
217,PRT,-99,-99,Port.,Portugal,Portugal,Portugal
218,PRY,PRY,600,Para.,Paraguay,Paraguay,Paraguay
219,PYF,PYF,258,Fr. Poly.,French Polynesia,Fr. Polynesia,French Polynesia
220,QAT,QAT,634,Qatar,Qatar,Qatar,Qatar
221,REU,REU,638,Reu.,Reunion,Reunion,Reunion
222,ROU,ROU,642,Rom.,Romania,Romania,Romania
223,RUS,RUS,643,Rus.,Russia,Russia,Russian Federation
224,RWA,RWA,646,Rwa.,Rwanda,Rwanda,Rwanda
225,MAR,ESH,732,W. Sah.,Western Sahara,W. Sahara,Western Sahara
226,SAU,SAU,682,Saud.,Saudi Arabia,Saudi Arabia,Saudi Arabia
227,-99,-99,-99,S.R.,Scarborough Reef,Scarborough Reef,Scarborough Reef
228,-99,-99,-99,Scot.,Scotland,Scotland,Scotland
229,SDN,SDN,729,Sudan,Sudan,Sudan,Sudan
230,SSD,SSD,728,S. Sud.,South Sudan,S. Sudan,South Sudan
231,SEN,SEN,686,Sen.,Senegal,Senegal,Senegal
232,-99,-99,-99,S.B.,Serranilla Bank,Serranilla Bank,Serranilla Bank
233,SGP,SGP,702,Sing.,Singapore,Singapore,Singapore
234,SGS,SGS,239,S.G. S.S. Is.,South Georgia and South Sandwich Islands,S. Geo. and S. Sandw. Is.,South Georgia and South Sandwich Islands
235,SHN,SHN,654,St.H.,Saint Helena,Saint Helena,Saint Helena
236,SLB,SLB,90,S. Is.,Solomon Islands,Solomon Is.,Solomon Islands
237,SLE,SLE,694,S.L.,Sierra Leone,Sierra Leone,Sierra Leone
238,SLV,SLV,222,El. S.,El Salvador,El Salvador,El Salvador
239,SMR,SMR,674,S.M.,San Marino,San Marino,San Marino
240,SOM,-99,-99,Solnd.,Somaliland,Somaliland,Somaliland
241,SOM,-99,-99,Punt.,Puntland,Puntland,Puntland
242,SOM,-99,-99,Som.,Somalia,Somalia,Somalia
243,SPM,SPM,666,St. P.M.,Saint Pierre and Miquelon,St. Pierre and Miquelon,Saint Pierre and Miquelon
244,SRB,-99,-99,Serb.,Serbia,Serbia,Serbia
245,SRB,-99,-99,Vojv.,Vojvodina,Vojvodina,Vojvodina
246,STP,STP,678,S.T.P.,Sao Tome and Principe,São Tomé and Principe,São Tomé and Principe
247,SUR,SUR,740,Sur.,Suriname,Suriname,Suriname
248,SVK,SVK,703,Svk.,Slovakia,Slovakia,Slovakia
249,SVN,SVN,705,Slo.,Slovenia,Slovenia,Slovenia
250,SWE,SWE,752,Swe.,Sweden,Sweden,Sweden
251,SWZ,SWZ,748,Swz.,Swaziland,Swaziland,Swaziland
252,SXM,SXM,534,St. M.,Sint Maarten,Sint Maarten,Sint Maarten
253,SYC,SYC,690,Syc.,Seychelles,Seychelles,Seychelles
254,SYR,-99,-99,DOF,UNDOF,UNDOF Zone,UNDOF Zone
255,SYR,SYR,760,Syria,Syria,Syria,Syrian Arab Republic
256,TCA,TCA,796,T.C. Is.,Turks and Caicos Islands,Turks and Caicos Is.,Turks and Caicos Islands
257,TCD,TCD,148,Chad,Chad,Chad,Chad
258,TGO,TGO,768,Togo,Togo,Togo,Togo
259,THA,THA,764,Thai.,Thailand,Thailand,Thailand
260,TJK,TJK,762,Tjk.,Tajikistan,Tajikistan,Tajikistan
261,TKL,TKL,772,Tkl.,Tokelau,Tokelau,Tokelau
262,TKM,TKM,795,Turkm.,Turkmenistan,Turkmenistan,Turkmenistan
263,TLS,TLS,626,T.L.,East Timor,Timor-Leste,Timor-Leste
264,TON,TON,776,Tongo,Tonga,Tonga,Tonga
265,TTO,TTO,780,Tr.T.,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
266,TUN,TUN,788,Tun.,Tunisia,Tunisia,Tunisia
267,TUR,TUR,792,Tur.,Turkey,Turkey,Turkey
268,TUV,TUV,798,Tuv.,Tuvalu,Tuvalu,Tuvalu
269,TWN,TWN,158,Taiwan,Taiwan,Taiwan,Taiwan
270,TZA,TZA,834,Tanz.,Tanzania,Tanzania,Tanzania
271,TZA,-99,-99,Zan.,Zanzibar,Zanzibar,Zanzibar
272,UGA,UGA,800,Uga.,Uganda,Uganda,Uganda
273,UKR,UKR,804,Ukr.,Ukraine,Ukraine,Ukraine
274,URY,URY,858,Ury.,Uruguay,Uruguay,Uruguay
275,USA,USA,840,U.S.A.,United States of America,United States,United States
276,-99,-99,-99,Guantan.,US Naval Base Guantanamo Bay,USNB Guantanamo Bay,US Naval Base Guantanamo Bay
277,UZB,UZB,860,Uzb.,Uzbekistan,Uzbekistan,Uzbekistan
278,VAT,VAT,336,Vat.,Vatican,Vatican,Vatican
279,VCT,VCT,670,St.V.G.,Saint Vincent and the Grenadines,St. Vin. and Gren.,Saint Vincent and the Grenadines
280,VEN,VEN,862,Ven.,Venezuela,Venezuela,Venezuela
281,VGB,VGB,92,V.I. (Br.),British Virgin Islands,British Virgin Is.,British Virgin Islands
282,VIR,VIR,850,V.I. (U.S.),United States Virgin Islands,U.S. Virgin Is.,United States Virgin Islands
283,VNM,VNM,704,Viet.,Vietnam,Vietnam,Vietnam
284,VUT,VUT,548,Van.,Vanuatu,Vanuatu,Vanuatu
285,PSE,-99,275,W.B.,West Bank,West Bank,West Bank
286,WLF,WLF,876,Wlf.,Wallis and Futuna,Wallis and Futuna Is.,Wallis and Futuna Islands
287,-99,-99,-99,Wales,Wales,Wales,Wales
288,WQI,-99,-99,Wake At.,Wake Atoll,Wake Atoll,Wake Atoll
289,GBR,-99,-99,Akr.,Akrotiri Sovereign Base Area,Akrotiri,Akrotiri
290,WSM,WSM,882,Samoa,Samoa,Samoa,Samoa
291,YEM,YEM,887,Yem.,Yemen,Yemen,Yemen
292,ZAF,ZAF,710,S.Af.,South Africa,South Africa,South Africa
293,ZMB,ZMB,894,Zambia,Zambia,Zambia,Zambia
294,ZWE,ZWE,716,Zimb.,Zimbabwe,Zimbabwe,Zimbabwe
