unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern Europe & Central Asia,SRB,Serbia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,RotaC,95,85,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,RotaC,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,RotaC,73,77,76,71,71,67,60,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,RotaC,90,84,86,80,75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Swaziland,RotaC,95,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CHE,Switzerland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,RotaC,96,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TLS,Timor-Leste,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,RotaC,90,85,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TON,Tonga,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,TUN,Tunisia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TUR,Turkey,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TKM,Turkmenistan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TUV,Tuvalu,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,UGA,Uganda,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UKR,Ukraine,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ARE,United Arab Emirates,RotaC,92,87,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GBR,United Kingdom of Great Britain and Northern Ireland,RotaC,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,TZA,United Republic of Tanzania,RotaC,96,98,97,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,USA,United States of America,RotaC,73,72,72,73,69,67,59,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,URY,Uruguay,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UZB,Uzbekistan,RotaC,99,95,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VUT,Vanuatu,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),RotaC,47,84,76,77,76,66,49,54,50,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VNM,Viet Nam,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,YEM,Yemen,RotaC,59,52,57,56,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZMB,Zambia,RotaC,90,82,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZWE,Zimbabwe,RotaC,91,87,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
