unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,MAR,Morocco,MCV1,99,99,99,99,99,99,98,98,96,95,95,97,95,90,94,96,93,90,91,92,93,88,87,83,81,80,79,82,81,73,58,45,42,35,17,,
Eastern & Southern Africa,MOZ,Mozambique,MCV1,91,85,85,85,82,82,82,80,77,75,76,78,79,80,77,74,71,67,64,61,58,71,65,62,56,55,59,48,44,37,39,39,50,51,58,32,
East Asia & Pacific,MMR,Myanmar,MCV1,91,84,88,86,84,88,88,87,82,81,78,84,86,80,77,73,84,86,89,88,86,82,77,71,68,67,68,50,32,17,5,,,,,,
Eastern & Southern Africa,NAM,Namibia,MCV1,85,85,83,82,76,74,75,76,73,69,63,73,70,70,68,58,69,65,64,59,61,68,70,71,76,76,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,MCV1,98,98,98,97,96,99,99,99,99,99,99,80,67,53,40,95,8,49,90,99,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,MCV1,83,85,88,88,86,88,86,90,79,81,85,74,73,75,71,71,71,81,67,73,65,56,58,58,58,57,57,57,58,37,37,34,24,11,2,2,
Western Europe,NLD,Netherlands,MCV1,94,95,96,96,96,96,96,96,96,96,96,95,96,96,95,95,96,96,96,96,96,94,94,94,95,94,94,94,94,93,93,92,92,92,92,91,91
East Asia & Pacific,NZL,New Zealand,MCV1,92,93,93,92,92,93,91,89,86,79,82,82,83,84,84,85,85,83,81,99,92,84,87,85,82,82,90,83,75,67,60,64,67,71,74,77,80
Latin America & Caribbean,NIC,Nicaragua,MCV1,99,99,99,99,99,99,99,99,99,99,99,96,84,93,98,99,86,87,91,86,85,85,84,84,83,54,82,63,63,47,51,59,56,41,40,20,15
West & Central Africa,NER,Niger,MCV1,74,73,72,76,75,69,67,69,66,60,53,47,45,43,41,39,37,35,35,35,38,40,19,19,21,28,25,14,24,27,27,27,22,16,18,19,
West & Central Africa,NGA,Nigeria,MCV1,51,51,51,46,42,49,56,64,53,41,44,41,37,34,30,32,33,35,38,38,38,44,41,40,43,57,54,59,46,36,28,17,9,,,,
East Asia & Pacific,NIU,Niue,MCV1,99,99,99,99,99,99,99,99,99,98,99,99,99,85,99,99,99,99,99,99,99,34,99,99,99,99,99,99,94,94,73,52,52,58,65,71,77
Western Europe,NOR,Norway,MCV1,96,95,94,93,94,93,93,93,93,92,92,90,89,86,87,90,88,90,91,93,92,92,94,93,96,94,87,84,87,87,87,90,80,80,,,
Middle East & North Africa,OMN,Oman,MCV1,99,99,99,99,99,99,99,99,98,97,96,98,98,98,99,99,99,99,98,98,98,98,97,95,96,96,98,94,87,86,79,65,53,34,24,10,22
South Asia,PAK,Pakistan,MCV1,61,61,61,61,61,63,69,57,67,67,71,73,67,61,63,61,59,56,54,52,50,47,53,52,52,51,50,48,46,43,41,38,33,19,3,2,1
East Asia & Pacific,PLW,Palau,MCV1,96,95,83,99,91,85,39,75,97,91,98,98,99,99,99,91,83,96,74,83,99,99,41,32,94,98,98,98,99,98,98,,,,,,
Latin America & Caribbean,PAN,Panama,MCV1,90,90,90,92,98,97,97,96,96,95,95,99,97,95,95,95,97,90,96,92,90,84,84,83,76,80,73,73,73,78,74,84,72,85,64,76,71
East Asia & Pacific,PNG,Papua New Guinea,MCV1,70,79,84,89,86,79,74,74,73,77,84,82,77,77,73,65,69,67,63,50,24,42,36,28,70,69,67,52,46,37,39,33,26,1,,,
Latin America & Caribbean,PRY,Paraguay,MCV1,99,83,89,92,91,93,94,91,91,91,91,91,91,91,86,90,92,82,71,61,81,75,76,96,87,74,69,58,63,56,46,48,62,37,26,16,19
Latin America & Caribbean,PER,Peru,MCV1,88,92,89,85,94,96,94,91,92,92,93,77,85,95,95,97,97,93,93,91,87,98,75,75,83,74,64,52,52,56,41,53,35,28,32,26,23
East Asia & Pacific,PHL,Philippines,MCV1,80,82,79,87,87,87,80,88,92,92,92,92,92,87,82,81,78,80,80,79,76,72,75,78,81,83,85,83,77,67,51,49,44,27,9,,
Western Europe,POL,Poland,MCV1,96,96,97,98,98,98,98,98,98,98,99,98,97,97,98,97,97,97,97,97,97,96,96,95,95,94,95,95,95,94,92,92,94,94,93,93,92
Western Europe,PRT,Portugal,MCV1,98,98,98,98,97,97,96,95,97,95,97,93,95,96,93,90,87,92,96,96,99,94,91,95,99,96,85,96,84,81,75,70,48,48,46,49,54
Middle East & North Africa,QAT,Qatar,MCV1,99,99,99,97,97,98,99,99,96,92,99,99,99,93,99,92,91,87,89,87,90,87,86,86,86,84,79,79,73,60,62,62,62,69,22,10,26
East Asia & Pacific,KOR,Republic of Korea,MCV1,98,98,99,99,99,99,98,93,92,92,99,99,99,96,97,96,95,90,85,85,89,93,92,92,93,93,93,95,70,82,89,89,61,33,5,5,4
Eastern Europe & Central Asia,MDA,Republic of Moldova,MCV1,88,89,90,91,91,91,97,90,95,96,96,97,96,96,94,94,89,93,93,95,90,91,85,64,73,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,MCV1,86,86,89,92,94,93,95,96,96,97,95,97,97,97,98,98,98,98,97,97,94,93,91,93,91,92,92,90,78,90,81,88,86,83,,,
Eastern Europe & Central Asia,RUS,Russian Federation,MCV1,98,98,98,98,98,98,98,98,99,99,99,99,98,98,98,97,97,97,94,91,88,85,81,88,83,,,,,,,,,,,,
