unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
East Asia & Pacific,MYS,Malaysia,Hib3,98,99,97,97,99,95,95,95,95,90,89,85,71,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,Hib3,99,99,99,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,Hib3,68,64,73,69,66,66,73,73,74,44,16,1,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,Hib3,97,97,99,99,99,96,76,73,72,72,83,83,83,84,84,84,93,91,89,64,38,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,Hib3,58,70,65,66,67,80,92,99,92,83,60,69,46,70,80,45,45,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,Hib3,73,73,84,80,80,75,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,Hib3,96,97,97,98,98,98,99,99,99,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,Hib3,97,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of ),Hib3,61,61,65,68,66,72,70,73,73,79,59,74,65,68,70,73,75,40,,,,,,,,,,,,,,,,,,,
Western Europe,MCO,Monaco,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,Hib3,99,99,99,98,99,99,96,97,96,78,56,28,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,Hib3,89,89,91,94,94,90,90,87,93,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,Hib3,99,99,99,99,99,99,99,99,99,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,Hib3,80,80,79,78,76,76,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,Hib3,90,89,88,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,Hib3,92,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,Hib3,91,91,95,87,79,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,Hib3,87,91,92,92,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,Hib3,95,96,96,97,97,97,97,97,97,97,96,96,97,97,96,96,96,96,96,96,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,Hib3,92,92,93,92,93,94,89,98,86,78,80,80,83,85,88,90,90,88,81,86,,,,,,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,Hib3,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,Hib3,67,65,68,67,71,75,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,Hib3,49,49,49,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NIU,Niue,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,NOR,Norway,Hib3,96,95,94,95,95,95,94,95,94,95,95,93,94,94,95,93,93,94,95,96,97,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,Hib3,99,99,99,98,98,99,99,98,99,99,98,99,99,99,97,,,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,Hib3,72,72,72,72,72,74,82,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,Hib3,98,89,99,99,89,85,66,48,92,95,98,98,98,94,90,93,96,96,74,,,,,,,,,,,,,,,,,,
