unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,IRQ,Iraq,HepB_BD,47,43,43,43,37,32,27,60,92,90,88,93,92,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ISR,Israel,HepB_BD,95,96,97,97,97,98,97,98,99,99,96,96,96,96,96,96,96,,,,,,,,,,,,,,,,,,,,
Western Europe,ITA,Italy,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,HepB_BD,95,95,95,95,96,96,96,97,95,96,97,98,99,99,99,95,98,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,HepB_BD,79,75,66,84,82,66,63,52,59,58,68,70,72,74,76,78,80,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,HepB_BD,99,99,96,98,97,98,99,99,99,99,99,99,99,98,96,95,94,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,HepB_BD,96,97,99,96,94,73,99,98,98,98,97,98,99,99,99,93,45,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People’s Democratic Republic,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,HepB_BD,,,,,,,,97,98,97,97,98,99,98,99,99,98,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,HepB_BD,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,90,90,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LTU,Lithuania,HepB_BD,97,97,97,98,96,96,98,98,92,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,HepB_BD,88,88,96,87,91,95,95,95,99,90,90,90,95,90,90,97,92,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,HepB_BD,89,99,76,81,85,92,99,98,94,90,90,99,91,93,90,99,99,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,HepB_BD,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,HepB_BD,98,98,90,82,90,98,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of ),HepB_BD,80,75,72,69,81,81,80,88,87,86,90,93,83,79,74,70,65,,,,,,,,,,,,,,,,,,,,
Western Europe,MCO,Monaco,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,HepB_BD,98,97,97,97,97,96,95,98,94,97,98,89,98,99,98,98,96,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,HepB_BD,22,14,14,14,9,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,HepB_BD,87,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,98,90,95,99,99,98,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,HepB_BD,32,32,32,32,32,31,29,20,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NIU,Niue,HepB_BD,99,99,99,99,99,99,55,99,99,99,70,9,21,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,NOR,Norway,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,97,99,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,HepB_BD,99,99,99,99,99,99,99,99,67,99,98,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,HepB_BD,84,85,84,79,87,93,89,78,80,83,79,75,85,57,30,2,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,HepB_BD,35,32,31,37,35,31,31,26,27,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,HepB_BD,79,79,78,82,81,76,74,71,79,73,66,67,68,60,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,HepB_BD,59,56,51,46,39,46,37,34,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,POL,Poland,HepB_BD,93,93,93,93,93,93,93,93,93,93,93,93,93,92,94,94,95,,,,,,,,,,,,,,,,,,,,
Western Europe,PRT,Portugal,HepB_BD,97,97,98,98,97,97,96,95,95,95,91,86,86,84,99,82,64,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,HepB_BD,96,95,92,93,95,95,99,94,94,93,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,HepB_BD,93,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,HepB_BD,99,96,96,95,99,99,98,98,99,99,99,99,99,99,99,91,93,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,HepB_BD,93,96,73,98,99,99,98,97,99,90,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,HepB_BD,98,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and The Grenadines,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,HepB_BD,72,72,69,78,83,87,78,62,68,85,58,52,45,66,86,85,86,,,,,,,,,,,,,,,,,,,,
Western Europe,SMR,San Marino,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,HepB_BD,98,98,98,99,99,98,98,98,98,96,95,96,95,94,98,94,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,HepB_BD,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,HepB_BD,99,99,99,99,99,99,99,99,99,99,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,HepB_BD,71,71,68,68,67,69,69,69,71,72,74,74,72,77,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,HepB_BD,67,65,62,58,59,61,62,71,80,83,81,80,78,76,73,99,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
